año,mes,mes_del_año,semestre,trimestre,mes_idx,producto,descripcion_producto,precio_promedio_bs_kg,n_lotes_activos,tasa_completado,factor_estacional,demanda_total_kg,demanda_promedio_por_lote_kg,demanda_siguiente_mes_kg
2022,4,4,1,2,0,Papa,El alimento base,3.07,4,0.75,1.0,36833.14,9208.28,29441.54
2022,5,5,1,2,1,Papa,El alimento base,2.33,7,0.7143,0.8,51310.21,7330.03,48706.02
2022,6,6,1,2,2,Papa,El alimento base,2.25,7,0.7143,0.75,76508.3,10929.76,86170.9
2022,7,7,2,3,3,Papa,El alimento base,2.39,7,0.5714,0.78,59209.64,8458.52,67003.67
2022,8,8,2,3,4,Papa,El alimento base,2.58,10,0.7,0.85,79516.93,7951.69,89893.44
2022,9,9,2,3,5,Papa,El alimento base,2.99,4,0.75,0.95,31921.16,7980.29,38683.12
2022,10,10,2,4,6,Papa,El alimento base,3.27,5,1.0,1.05,54194.05,10838.81,59523.3
2022,11,11,2,4,7,Papa,El alimento base,3.44,6,1.0,1.1,37372.07,6228.68,44010.06
2022,12,12,2,4,8,Papa,El alimento base,3.74,8,0.875,1.18,69650.72,8706.34,71263.94
2023,1,1,1,1,9,Papa,El alimento base,3.67,4,1.0,1.2,51826.43,12956.61,60105.68
2023,2,2,1,1,10,Papa,El alimento base,3.83,7,1.0,1.25,59000.78,8428.68,60076.55
2023,3,3,1,1,11,Papa,El alimento base,3.67,8,1.0,1.15,86038.62,10754.83,77453.0
2023,4,4,1,2,12,Papa,El alimento base,3.22,10,0.8,1.0,92514.34,9251.43,79727.18
2023,5,5,1,2,13,Papa,El alimento base,2.54,9,0.8889,0.8,76811.86,8534.65,74287.33
2023,6,6,1,2,14,Papa,El alimento base,2.42,6,0.8333,0.75,35181.71,5863.62,37850.28
2023,7,7,2,3,15,Papa,El alimento base,2.47,7,0.8571,0.78,47747.32,6821.05,59149.62
2023,8,8,2,3,16,Papa,El alimento base,2.71,9,0.6667,0.85,66835.56,7426.17,74641.98
2023,9,9,2,3,17,Papa,El alimento base,2.98,4,1.0,0.95,29633.38,7408.35,36972.48
2023,10,10,2,4,18,Papa,El alimento base,3.19,4,1.0,1.05,45365.32,11341.33,48634.23
2023,11,11,2,4,19,Papa,El alimento base,3.49,7,0.8571,1.1,69556.81,9936.69,86280.59
2023,12,12,2,4,20,Papa,El alimento base,3.77,10,0.9,1.18,85317.93,8531.79,98737.1
2024,1,1,1,1,21,Papa,El alimento base,3.94,5,0.8,1.2,46104.48,9220.9,53070.07
2024,2,2,1,1,22,Papa,El alimento base,4.01,6,1.0,1.25,55200.98,9200.16,59397.46
2024,3,3,1,1,23,Papa,El alimento base,3.76,7,1.0,1.15,62579.7,8939.96,62150.96
2024,4,4,1,2,24,Papa,El alimento base,3.28,10,0.9,1.0,107953.13,10795.31,101254.39
2024,5,5,1,2,25,Papa,El alimento base,2.7,6,0.6667,0.8,57193.85,9532.31,56918.53
2024,6,6,1,2,26,Papa,El alimento base,2.54,8,0.5,0.75,50805.68,6350.71,62961.27
2024,7,7,2,3,27,Papa,El alimento base,2.6,9,0.6667,0.78,75796.12,8421.79,88486.25
2024,8,8,2,3,28,Papa,El alimento base,2.87,8,0.5,0.85,51915.25,6489.41,63029.6
2024,9,9,2,3,29,Papa,El alimento base,3.2,7,0.8571,0.95,49166.91,7023.84,58538.95
2024,10,10,2,4,30,Papa,El alimento base,3.55,6,0.8333,1.05,44743.27,7457.21,50825.21
2024,11,11,2,4,31,Papa,El alimento base,3.79,10,1.0,1.1,74880.0,7488.0,96478.81
2024,12,12,2,4,32,Papa,El alimento base,4.06,8,1.0,1.18,72247.58,9030.95,87663.32
2025,1,1,1,1,33,Papa,El alimento base,4.25,8,1.0,1.2,66558.38,8319.8,75700.8
2025,2,2,1,1,34,Papa,El alimento base,4.38,6,0.8333,1.25,52118.2,8686.37,58008.39
2025,3,3,1,1,35,Papa,El alimento base,4.04,5,1.0,1.15,75288.66,15057.73,73538.59
2025,4,4,1,2,36,Papa,El alimento base,3.46,5,0.8,1.0,56757.53,11351.51,54414.3
2025,5,5,1,2,37,Papa,El alimento base,2.73,6,0.6667,0.8,56806.11,9467.68,62779.99
2025,6,6,1,2,38,Papa,El alimento base,2.61,10,0.5,0.75,56158.37,5615.84,71213.57
2025,7,7,2,3,39,Papa,El alimento base,2.71,5,0.8,0.78,57714.62,11542.92,69077.58
2025,8,8,2,3,40,Papa,El alimento base,3.05,7,1.0,0.85,47188.99,6741.28,60886.91
2025,9,9,2,3,41,Papa,El alimento base,3.25,5,0.8,0.95,43344.59,8668.92,56887.17
2025,10,10,2,4,42,Papa,El alimento base,3.64,7,0.8571,1.05,51076.2,7296.6,61891.71
2025,11,11,2,4,43,Papa,El alimento base,4.02,5,0.8,1.1,35048.61,7009.72,45264.68
2025,12,12,2,4,44,Papa,El alimento base,4.21,6,0.8333,1.18,53243.31,8873.89,66623.38
2026,1,1,1,1,45,Papa,El alimento base,4.25,9,0.7778,1.2,87799.39,9755.49,105611.36
2026,1,1,1,1,46,Papa,El alimento base,4.24,9,1.0,1.2,81108.52,9012.06,97547.44
2026,3,3,1,1,47,Papa,El alimento base,4.15,4,1.0,1.15,39263.85,9815.96,41270.25
