id,product,producer,target_kilos,current_kilos,base_price,deadline,status,created_by,created_at
LOT-PAP-0001,Papa,Soluciones López S.L.N.E,18900.74,17212.97,2.82,2022-05-24 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-04-22 04:09:51
LOT-PAP-0002,Papa,Isaías Garcia Bou S.Coop.,3354.39,1567.64,3.18,2022-06-02 04:09:51,expired,d92a3c54-572c-4498-8bd2-9e332d59536b,2022-04-22 04:09:51
LOT-PAP-0003,Papa,Comercializadora Globales S.Com.,7493.44,6761.82,3.14,2022-05-13 04:09:51,completed,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-04-22 04:09:51
LOT-PAP-0004,Papa,Tormo y Flor S.L.,11358.57,11290.71,3.15,2022-05-30 04:09:51,completed,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-04-22 04:09:51
LOT-PAP-0005,Papa,Farmaceútica Globales S.Coop.,14161.29,9492.56,2.41,2022-06-29 04:09:51,expired,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-05-22 04:09:51
LOT-PAP-0006,Papa,Talleres del Noroeste S.L.,2439.66,2403.0,2.31,2022-06-08 04:09:51,completed,c42d60f7-72a5-4218-8455-6843a1d63934,2022-05-22 04:09:51
LOT-PAP-0007,Papa,Alfonso & Asociados S.L.,15385.8,14227.62,2.4,2022-06-26 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-05-22 04:09:51
LOT-PAP-0008,Papa,Arribas & Asociados S.Coop.,10788.13,10128.82,2.32,2022-06-27 04:09:51,completed,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-05-22 04:09:51
LOT-PAP-0009,Papa,Servicios del Noroeste S.Com.,8823.87,8613.18,2.3,2022-06-18 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-05-22 04:09:51
LOT-PAP-0010,Papa,Inmobiliaria del Mediterráneo S.A.,3945.78,3818.47,2.23,2022-07-06 04:09:51,completed,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-05-22 04:09:51
LOT-PAP-0011,Papa,Lluch y Fiol S.A.,7801.48,2626.56,2.31,2022-06-20 04:09:51,expired,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-05-22 04:09:51
LOT-PAP-0012,Papa,Alimentación Ibéricos S.C.P,19939.37,18850.17,2.29,2022-07-15 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-06-21 04:09:51
LOT-PAP-0013,Papa,Distribuciones del Noroeste S.Com.,14744.33,13350.29,2.13,2022-07-15 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-06-21 04:09:51
LOT-PAP-0014,Papa,Familia Arellano S.A.,7496.84,7301.99,2.31,2022-08-05 04:09:51,completed,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-06-21 04:09:51
LOT-PAP-0015,Papa,Tur y asociados S.L.,16180.9,10638.9,2.31,2022-07-19 04:09:51,expired,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-06-21 04:09:51
LOT-PAP-0016,Papa,Hermanos Cantón S.Coop.,19442.99,18122.93,2.26,2022-07-09 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-06-21 04:09:51
LOT-PAP-0017,Papa,Desarrollo GCRL S.L.U.,4358.24,1906.77,2.19,2022-07-06 04:09:51,expired,91b887de-f920-4f25-aa0b-5e71502435fc,2022-06-21 04:09:51
LOT-PAP-0018,Papa,Supermercados del Mediterráneo S.Com.,6387.16,6337.25,2.29,2022-07-22 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-06-21 04:09:51
LOT-PAP-0019,Papa,Hermanos Jaume S.C.P,17574.69,16401.47,2.35,2022-08-29 04:09:51,completed,5676ed82-9a65-4833-9526-d82e8115357c,2022-07-21 04:09:51
LOT-PAP-0020,Papa,Manufacturas Artigas & Asociados S.Com.,3346.91,3220.82,2.48,2022-08-17 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-07-21 04:09:51
LOT-PAP-0021,Papa,Servicios US S.L.,9416.93,8640.1,2.44,2022-08-24 04:09:51,completed,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-07-21 04:09:51
LOT-PAP-0022,Papa,Familia Arévalo S.A.T.,19316.52,17968.47,2.44,2022-08-17 04:09:51,completed,c42d60f7-72a5-4218-8455-6843a1d63934,2022-07-21 04:09:51
LOT-PAP-0023,Papa,Prieto & Asociados S.C.P,2145.76,1452.82,2.51,2022-09-03 04:09:51,expired,91b887de-f920-4f25-aa0b-5e71502435fc,2022-07-21 04:09:51
LOT-PAP-0024,Papa,Manufacturas Española S.L.N.E,15574.73,8261.75,2.26,2022-08-17 04:09:51,expired,5676ed82-9a65-4833-9526-d82e8115357c,2022-07-21 04:09:51
LOT-PAP-0025,Papa,Alvarez y asociados S.L.N.E,9349.33,3264.21,2.23,2022-08-20 04:09:51,expired,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-07-21 04:09:51
LOT-PAP-0026,Papa,Tecnologías Bello S.L.,10808.25,2334.92,2.55,2022-09-15 04:09:51,expired,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-08-20 04:09:51
LOT-PAP-0027,Papa,Comercializadora Belda & Asociados S.Com.,11723.88,11567.3,2.72,2022-09-08 04:09:51,completed,e93f25fc-9b20-4187-95fa-859beca1159e,2022-08-20 04:09:51
LOT-PAP-0028,Papa,Quique Bartolomé Montalbán S.L.N.E,14349.75,3386.69,2.59,2022-09-06 04:09:51,expired,d92a3c54-572c-4498-8bd2-9e332d59536b,2022-08-20 04:09:51
LOT-PAP-0029,Papa,Hermanos Rosell S.Com.,17350.27,9598.37,2.65,2022-09-10 04:09:51,expired,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-08-20 04:09:51
LOT-PAP-0030,Papa,Servicios Bravo S.L.L.,7624.08,6979.64,2.43,2022-09-19 04:09:51,completed,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-08-20 04:09:51
LOT-PAP-0031,Papa,Minería Gutiérrez S.Coop.,14149.58,13665.43,2.62,2022-09-26 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-08-20 04:09:51
LOT-PAP-0032,Papa,Hermanos Leon S.A.,2109.9,1983.48,2.75,2022-09-08 04:09:51,completed,e93f25fc-9b20-4187-95fa-859beca1159e,2022-08-20 04:09:51
LOT-PAP-0033,Papa,Minería Álvaro S.Com.,3529.23,3394.35,2.41,2022-09-25 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-08-20 04:09:51
LOT-PAP-0034,Papa,Restauración MC S.A.,15754.9,14963.03,2.5,2022-09-17 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-08-20 04:09:51
LOT-PAP-0035,Papa,Huertas & Asociados S.L.N.E,12363.66,11643.72,2.62,2022-09-07 04:09:51,completed,51f1c886-7ad3-4150-aa57-94e34edf0078,2022-08-20 04:09:51
LOT-PAP-0036,Papa,Servicios Tejero S.L.N.E,6379.7,5994.21,2.95,2022-10-13 04:09:51,completed,d92a3c54-572c-4498-8bd2-9e332d59536b,2022-09-19 04:09:51
LOT-PAP-0037,Papa,Rebollo y asociados S.L.N.E,3356.36,3176.44,3.12,2022-10-22 04:09:51,completed,91b887de-f920-4f25-aa0b-5e71502435fc,2022-09-19 04:09:51
LOT-PAP-0038,Papa,Fábrica RAK S.Com.,19239.0,11741.85,2.89,2022-10-26 04:09:51,expired,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-09-19 04:09:51
LOT-PAP-0039,Papa,Infraestructuras Aragón y asociados S.A.U,12060.6,11008.66,2.98,2022-10-26 04:09:51,completed,5676ed82-9a65-4833-9526-d82e8115357c,2022-09-19 04:09:51
LOT-PAP-0040,Papa,Comercializadora Domínguez S.L.N.E,3388.97,3311.32,3.41,2022-11-29 04:09:51,completed,5676ed82-9a65-4833-9526-d82e8115357c,2022-10-19 04:09:51
LOT-PAP-0041,Papa,Maldonado y asociados S.Coop.,16964.21,15548.61,3.37,2022-11-17 04:09:51,completed,e93f25fc-9b20-4187-95fa-859beca1159e,2022-10-19 04:09:51
LOT-PAP-0042,Papa,Mesa y asociados S.Coop.,17320.99,16061.39,3.12,2022-12-01 04:09:51,completed,5676ed82-9a65-4833-9526-d82e8115357c,2022-10-19 04:09:51
LOT-PAP-0043,Papa,Ramis & Asociados S.A.,7736.33,7222.09,3.02,2022-11-07 04:09:51,completed,5230c44f-1ffb-4722-b4b2-8f7aa7e4d21b,2022-10-19 04:09:51
LOT-PAP-0044,Papa,Inmobiliaria KFS S.Com.,13076.27,12050.64,3.44,2022-11-07 04:09:51,completed,5676ed82-9a65-4833-9526-d82e8115357c,2022-10-19 04:09:51
LOT-PAP-0045,Papa,Rebollo y asociados S.L.,6565.7,6135.52,3.13,2022-12-26 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-11-18 04:09:51
LOT-PAP-0046,Papa,Castilla y Bartolomé S.Coop.,7150.0,6903.84,3.59,2022-12-11 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-11-18 04:09:51
LOT-PAP-0047,Papa,Grupo Taboada S.L.,10048.33,9661.32,3.52,2022-12-16 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-11-18 04:09:51
LOT-PAP-0048,Papa,Coloma y Cadenas S.Coop.,4570.03,4128.93,3.45,2022-12-05 04:09:51,completed,b48ddd41-5e75-4522-9cd3-eb76e6a1bde8,2022-11-18 04:09:51
LOT-PAP-0049,Papa,Bayo y asociados S.Com.,7140.38,6513.91,3.62,2022-12-30 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-11-18 04:09:51
LOT-PAP-0050,Papa,Hnos Cerezo S.Com.,4255.88,4028.55,3.3,2022-12-19 04:09:51,completed,d92a3c54-572c-4498-8bd2-9e332d59536b,2022-11-18 04:09:51
LOT-PAP-0051,Papa,Hermanos Alberto S.A.,18108.67,17447.8,3.86,2023-01-19 04:09:51,completed,a76f778e-38df-4170-b898-b5d475bc7437,2022-12-18 04:09:51
LOT-PAP-0052,Papa,Finanzas GD S.Coop.,3462.01,3207.43,3.92,2023-01-08 04:09:51,completed,91b887de-f920-4f25-aa0b-5e71502435fc,2022-12-18 04:09:51
LOT-PAP-0053,Papa,Restauración Cerezo S.Com.,10092.73,10037.61,3.45,2023-01-29 04:09:51,completed,91b887de-f920-4f25-aa0b-5e71502435fc,2022-12-18 04:09:51
LOT-PAP-0054,Papa,Infraestructuras Lumbreras y asociados S.Com.,15749.42,15072.64,3.58,2023-01-08 04:09:51,completed,d92a3c54-572c-4498-8bd2-9e332d59536b,2022-12-18 04:09:51
LOT-PAP-0055,Papa,Manufacturas del Levante S.L.,10817.24,9753.51,3.69,2023-01-12 04:09:51,completed,2d0d9e58-1728-4883-830b-e6313ff462d3,2022-12-18 04:09:51
